Group 1,Group 2,Experiment
163,66,S1 drive F
830,429,S1 drive F
172,95,S1 drive F
646,125,S1 drive F
236,93,S1 drive F
408,134,S1 drive F
100,25,S1 drive F
526,159,S1 drive M
365,97,S1 drive M
398,139,S1 drive M
253,67,S1 drive M
129,68,S1 drive M
424,188,S1 drive M
179,65,S1 drive M
869,273,S1 drive M
111,4,S1 intercross
548,51,S1 intercross
909,19,S1 intercross
261,16,S1 intercross
227,19,S1 intercross
409,32,S1 intercross
91,5,S1 intercross
23,5,S2 hatch F
17,54,S2 hatch F
51,5,S2 hatch F
17,19,S2 hatch F
59,6,S2 hatch M
72,4,S2 hatch M
85,3,S2 hatch M
53,14,S2 hatch M
14,72,S2 hatch M
36,5,S3 hatch wt
44,8,S3 hatch wt
59,9,S3 hatch wt
79,9,S3 hatch wt
44,4,S3 hatch wt
39,15,S3 hatch wt
11,12,S2 drive F
13,4,S2 drive F
39,12,S2 drive F
11,6,S2 drive F
47,12,S2 drive M
69,3,S2 drive M
82,3,S2 drive M
25,28,S2 drive M
14,0,S2 drive M
16,19,S3 vasCas9 F
8,11,S3 vasCas9 F
90,76,S3 vasCas9 F
241,209,S3 vasCas9 F
221,211,S3 vasCas9 F
262,269,S3 vasCas9 F
148,172,S3 vasCas9 M
353,379,S3 vasCas9 M
26,24,S3 vasCas9 M
61,63,S3 vasCas9 M
348,395,S3 vasCas9 M
271,319,S3 vasCas9 M
78,70,S3 vasCas9 M
79,102,S3 vasCas9 M
34,36,S4 G0 vasCas9
329,324,S4 G0 vasCas9
32,26,S4 G0 vasCas9
61,9,S4 G0 drive
513,140,S4 G0 drive
49,9,S4 G0 drive
61,75,S4 G1 vasCas9
49,56,S4 G1 vasCas9
98,168,S4 G1 vasCas9
45,37,S4 G1 vasCas9
30,39,S4 G1 vasCas9
33,50,S4 G1 vasCas9
12,19,S4 G1 vasCas9
136,0,S4 G1 drive
105,0,S4 G1 drive
266,0,S4 G1 drive
82,0,S4 G1 drive
69,0,S4 G1 drive
83,0,S4 G1 drive
31,0,S4 G1 drive
82,8,S4 G1 hatch
69,1,S4 G1 hatch
83,0,S4 G1 hatch
31,1,S4 G1 hatch
