CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,R2_Heterozygotes,R2_Homozygotes,Pop_size
0.01,2,0,1652,0,0,1654
0.03,5,0,2015,0,0,2020
0.05,4,0,2187,0,0,2191
0.07,4,0,2155,0,0,2159
0.09,9,0,2087,0,0,2096
0.11,12,0,1981,0,0,1993
0.13,13,0,2066,0,0,2079
0.15,15,0,1906,0,0,1921
0.17,23,0,1999,0,0,2022
0.19,44,0,1909,0,0,1953
0.21,36,0,1907,0,0,1943
0.23,48,0,1901,0,0,1949
0.25,79,0,1980,0,0,2059
0.27,127,0,1928,0,1,2056
0.29,136,0,1846,0,0,1982
0.31,168,0,1786,0,1,1955
0.33,239,1,1729,0,2,1971
0.35,295,0,1690,1,5,1991
0.37,393,3,1586,3,7,1992
0.39,461,9,1421,5,14,1910
0.41,561,20,1265,9,27,1882
0.43,676,25,1102,12,50,1865
0.45,754,47,945,24,50,1820
0.47,834,91,753,39,89,1806
0.49,811,149,634,39,115,1748
0.51,893,256,486,60,150,1845
0.53,811,401,367,63,164,1806
0.55,808,545,282,102,144,1881
0.57,664,726,157,72,158,1777
0.59,590,875,86,93,132,1776
0.61,541,1116,58,86,161,1962
0.63,382,1303,38,71,108,1902
0.65,317,1423,18,81,82,1921
0.67,233,1591,12,55,51,1942
0.69,176,1721,4,42,54,1997
0.71,114,1768,5,32,50,1969
0.73,108,1771,1,26,35,1941
0.75,71,1805,2,21,21,1920
0.77,50,1891,1,15,14,1971
0.79,34,1917,1,8,8,1968
0.81,33,1950,1,2,10,1996
0.83,22,1966,0,7,11,2006
0.85,18,1940,0,4,3,1965
0.87,7,1967,0,0,3,1977
0.89,3,2086,0,0,1,2090
0.91,3,2101,0,0,2,2106
0.93,2,2164,0,0,2,2168
0.95,1,2104,0,0,0,2105
0.97,0,1934,0,0,0,1934
0.99,0,1641,0,0,0,1641
