CORE,Drive_Homozygotes,Wild_Homozygotes,Pop_size,One_drive_females,One_drive_males
0.01,9,1,16,0,6
0.03,17,0,20,0,3
0.05,21,0,27,1,5
0.07,24,0,29,1,4
0.09,40,2,49,3,4
0.11,42,2,53,4,5
0.13,59,2,76,3,12
0.15,68,1,87,4,14
0.17,100,2,119,2,15
0.19,112,8,163,7,36
0.21,145,7,208,16,40
0.23,176,10,272,24,62
0.25,175,15,283,26,67
0.27,219,18,369,34,98
0.29,260,23,446,34,129
0.31,260,36,508,49,163
0.33,271,36,512,46,159
0.35,275,46,543,47,175
0.37,290,75,660,81,214
0.39,294,96,683,71,222
0.41,294,109,760,80,277
0.43,265,152,836,103,316
0.45,272,177,881,120,312
0.47,265,212,965,134,354
0.49,246,248,1023,153,376
0.51,231,340,1099,141,387
0.53,239,376,1199,156,428
0.55,227,455,1292,176,434
0.57,186,512,1329,181,450
0.59,144,624,1389,155,466
0.61,140,704,1433,161,428
0.63,100,795,1489,174,420
0.65,95,864,1539,167,413
0.67,84,922,1558,168,384
0.69,51,1033,1593,141,368
0.71,57,1214,1743,137,335
0.73,45,1271,1756,121,319
0.75,33,1375,1813,129,276
0.77,23,1529,1887,111,224
0.79,18,1610,1903,68,207
0.81,14,1677,1934,66,177
0.83,5,1762,1955,48,140
0.85,6,1838,1968,27,97
0.87,5,1785,1910,29,91
0.89,1,1899,1998,27,71
0.91,0,2012,2100,31,57
0.93,0,2145,2209,20,44
0.95,0,2138,2192,11,43
0.97,0,1876,1914,4,34
0.99,0,1631,1666,13,22
