CORE,Females_Drive_Homozygotes,Females_Drive_Heterozygotes,Males_Drive,Wild_Homozygotes,Pop_size
0.01,15,0,12,0,27
0.03,25,0,38,0,63
0.05,42,1,33,0,76
0.07,43,3,57,2,105
0.09,57,4,51,1,113
0.11,83,6,65,2,156
0.13,76,9,75,3,163
0.15,84,14,126,5,229
0.17,136,18,134,14,302
0.19,172,30,171,17,390
0.21,174,36,167,21,398
0.23,179,57,221,24,481
0.25,204,60,243,49,556
0.27,243,90,260,60,653
0.29,223,97,322,74,716
0.31,263,142,345,108,858
0.33,276,176,335,150,937
0.35,281,227,392,158,1058
0.37,273,265,375,262,1175
0.39,255,299,426,290,1270
0.41,240,311,416,347,1314
0.43,229,361,402,451,1443
0.45,193,373,420,547,1533
0.47,177,412,448,732,1769
0.49,124,394,371,824,1713
0.51,119,425,341,929,1814
0.53,87,353,316,1078,1834
0.55,72,354,289,1223,1938
0.57,52,327,256,1330,1965
0.59,37,268,206,1443,1954
0.61,27,216,167,1585,1995
0.63,15,163,127,1662,1967
0.65,15,146,100,1715,1976
0.67,6,120,83,1880,2089
0.69,3,82,48,1837,1970
0.71,1,73,41,1864,1979
0.73,0,42,36,1909,1987
0.75,1,40,22,1929,1992
0.77,0,29,12,1983,2024
0.79,0,15,11,1935,1961
0.81,0,18,9,1958,1985
0.83,0,9,6,1947,1962
0.85,0,5,5,2009,2019
0.87,0,6,1,2028,2035
0.89,0,0,0,2075,2075
0.91,0,1,0,2185,2186
0.93,0,0,0,2178,2178
0.95,0,0,0,2133,2133
0.97,0,0,0,2010,2010
0.99,0,0,0,1612,1612
