File,Suppressed without chasing,Suppressed with chasing,TARE drive lost without chasing,TARE drive lost with chasing,Homing drive lost without chasing,Homing drive lost with chasing,Low equilibrium
r0.0_o1.csv,0.0,0.0,0.6,0.1,0.05,0.0,0.0
r0.025_o1.csv,0.0,0.1,0.45,0.4,0.0,0.05,0.0
r0.05_o1.csv,0.0,0.3,0.45,0.2,0.0,0.0,0.05
r0.075_o1.csv,0.0,0.2,0.35,0.45,0.0,0.0,0.0
r0.1_o1.csv,0.0,0.2,0.7,0.1,0.0,0.0,0.0
r0.125_o1.csv,0.0,0.2,0.6,0.2,0.0,0.0,0.0
r0.15_o1.csv,0.0,0.15,0.75,0.1,0.0,0.0,0.0
r0.175_o1.csv,0.0,0.35,0.5,0.1,0.0,0.0,0.05
r0.2_o1.csv,0.0,0.2,0.65,0.15,0.0,0.0,0.0
r0.225_o1.csv,0.0,0.25,0.55,0.2,0.0,0.0,0.0
r0.25_o1.csv,0.0,0.35,0.6,0.05,0.0,0.0,0.0
r0.275_o1.csv,0.0,0.15,0.55,0.25,0.0,0.0,0.05
r0.3_o1.csv,0.0,0.45,0.35,0.15,0.0,0.0,0.05
r0.325_o1.csv,0.0,0.15,0.6,0.15,0.0,0.0,0.1
r0.35_o1.csv,0.0,0.3,0.5,0.15,0.0,0.0,0.05
r0.375_o1.csv,0.0,0.15,0.65,0.05,0.0,0.0,0.15
r0.4_o1.csv,0.0,0.4,0.5,0.05,0.0,0.05,0.0
r0.425_o1.csv,0.05,0.15,0.65,0.15,0.0,0.0,0.0
r0.45_o1.csv,0.0,0.3,0.5,0.15,0.0,0.0,0.05
r0.475_o1.csv,0.05,0.25,0.45,0.2,0.0,0.0,0.05
r0.5_o1.csv,0.0,0.4,0.4,0.2,0.0,0.0,0.0
